First Name, Last Name,Job Title,Employee ID,Description,Organizational Unit,Enabled,Password
Ariel, Burch,440 Student,1,auto gen via ps1 script,DC=cita440.local,TRUE,!P@ssw0rd.cita440
Mia, Zhang,440 Student,2,auto gen via ps1 script,DC=cita440.local,TRUE,!P@ssw0rd.cita440
Jaydon, Lopez,440 Student,3,auto gen via ps1 script,DC=cita440.local,TRUE,!P@ssw0rd.cita440
Raul, Little,440 Student,4,auto gen via ps1 script,DC=cita440.local,TRUE,!P@ssw0rd.cita440
Sullivan, Rivera,440 Student,5,auto gen via ps1 script,DC=cita440.local,TRUE,!P@ssw0rd.cita440
Marin, Lindsey,440 Student,6,auto gen via ps1 script,DC=cita440.local,TRUE,!P@ssw0rd.cita440
Tiana, Cuevas,440 Student,7,auto gen via ps1 script,DC=cita440.local,TRUE,!P@ssw0rd.cita440
Francis, Soto,440 Student,8,auto gen via ps1 script,DC=cita440.local,TRUE,!P@ssw0rd.cita440
Maxwell, Mcintosh,440 Student,9,auto gen via ps1 script,DC=cita440.local,TRUE,!P@ssw0rd.cita440
Howard, Dunlap,440 Student,10,auto gen via ps1 script,DC=cita440.local,TRUE,!P@ssw0rd.cita440
Valeria, Pacheco,440 Student,11,auto gen via ps1 script,DC=cita440.local,TRUE,!P@ssw0rd.cita440
Yadiel, Haney,440 Student,12,auto gen via ps1 script,DC=cita440.local,TRUE,!P@ssw0rd.cita440
Tate, Carter,440 Student,13,auto gen via ps1 script,DC=cita440.local,TRUE,!P@ssw0rd.cita440
Kierra, Clayton,440 Student,14,auto gen via ps1 script,DC=cita440.local,TRUE,!P@ssw0rd.cita440
Ali, Dorsey,440 Student,15,auto gen via ps1 script,DC=cita440.local,TRUE,!P@ssw0rd.cita440
Carter, Dawson,440 Student,16,auto gen via ps1 script,DC=cita440.local,TRUE,!P@ssw0rd.cita440
Emmalee, Anderson,440 Student,17,auto gen via ps1 script,DC=cita440.local,TRUE,!P@ssw0rd.cita440
Mohamed, Prince,440 Student,18,auto gen via ps1 script,DC=cita440.local,TRUE,!P@ssw0rd.cita440
Adelyn, Boyle,440 Student,19,auto gen via ps1 script,DC=cita440.local,TRUE,!P@ssw0rd.cita440
Carson, George,440 Student,20,auto gen via ps1 script,DC=cita440.local,TRUE,!P@ssw0rd.cita440
Zaid, Herman,440 Student,21,auto gen via ps1 script,DC=cita440.local,TRUE,!P@ssw0rd.cita440
Noelle, Stephens,440 Student,22,auto gen via ps1 script,DC=cita440.local,TRUE,!P@ssw0rd.cita440
Heidi, Adams,440 Student,23,auto gen via ps1 script,DC=cita440.local,TRUE,!P@ssw0rd.cita440
Brynlee, Valenzuela,440 Student,24,auto gen via ps1 script,DC=cita440.local,TRUE,!P@ssw0rd.cita440
Nylah, Mason,440 Student,25,auto gen via ps1 script,DC=cita440.local,TRUE,!P@ssw0rd.cita440
Abagail, Blackwell,440 Student,26,auto gen via ps1 script,DC=cita440.local,TRUE,!P@ssw0rd.cita440
Gabriel, Rivera,440 Student,27,auto gen via ps1 script,DC=cita440.local,TRUE,!P@ssw0rd.cita440
Selah, Calhoun,440 Student,28,auto gen via ps1 script,DC=cita440.local,TRUE,!P@ssw0rd.cita440
Skylar, Kent,440 Student,29,auto gen via ps1 script,DC=cita440.local,TRUE,!P@ssw0rd.cita440
Makaila, Nicholson,440 Student,30,auto gen via ps1 script,DC=cita440.local,TRUE,!P@ssw0rd.cita440
Stephanie, Rangel,440 Student,31,auto gen via ps1 script,DC=cita440.local,TRUE,!P@ssw0rd.cita440
Julianne, Hutchinson,440 Student,32,auto gen via ps1 script,DC=cita440.local,TRUE,!P@ssw0rd.cita440
Abram, Decker,440 Student,33,auto gen via ps1 script,DC=cita440.local,TRUE,!P@ssw0rd.cita440
Crystal, Green,440 Student,34,auto gen via ps1 script,DC=cita440.local,TRUE,!P@ssw0rd.cita440
Brittany, Levy,440 Student,35,auto gen via ps1 script,DC=cita440.local,TRUE,!P@ssw0rd.cita440
Quinten, Tucker,440 Student,36,auto gen via ps1 script,DC=cita440.local,TRUE,!P@ssw0rd.cita440
Esteban, Rubio,440 Student,37,auto gen via ps1 script,DC=cita440.local,TRUE,!P@ssw0rd.cita440
Dayanara, Barry,440 Student,38,auto gen via ps1 script,DC=cita440.local,TRUE,!P@ssw0rd.cita440
